X,Y,Name,description,HCI_CODE,HCI_NAME,LICENCE_TYPE,HCI_TEL,POSTAL_CD,ADDR_TYPE,BLK_HSE_NO,FLOOR_NO,UNIT_NO,STREET_NAME,BUILDING_NAME,CLINIC_PROGRAMME_CODE,X_COORDINATE,Y_COORDINATE,INC_CRC,FMEL_UPD_D,Field_16,Field_10,Field_11,Field_12,Field_13,Field_14,Field_15,Field_8,Field_9,Field_6,Field_7,Field_4,Field_5,Field_2,Field_3,Field_1
103.87803114664,1.37203701009684,kml_1,,13C0197,BVH Community and Continuing Care Clinic,MD,62485749,547530,B,5,,,LORONG NAPIRI,BRIGHT VISION HOSPITAL (LEVEL 2),"CDMP,CHAS,ISP",32975.96333266,39338.44369977,78FBD9F763FA1748,20190213130534,20190213130534,LORONG NAPIRI,BRIGHT VISION HOSPITAL (LEVEL 2),"CDMP,CHAS,ISP",32975.96333266,39338.44369977,78FBD9F763FA1748,,,B,5,62485749,547530,BVH Community and Continuing Care Clinic,MD,13C0197
103.852526109276,1.32129563262108,kml_2,,9404225,Balestier Clinic and Health Screening Centre,MD,62588798,329928,B,221,03,04,Balestier Road,Rocca Balestier,"CDMP,CHAS,ISP",30137.60782798,33727.68326718,FE3FEA6E72F6A9CD,20190213130534,20190213130534,Balestier Road,Rocca Balestier,"CDMP,CHAS,ISP",30137.60782798,33727.68326718,FE3FEA6E72F6A9CD,03,04,B,221,62588798,329928,Balestier Clinic and Health Screening Centre,MD,9404225
103.798140993881,1.44562290748789,kml_3,,9402787,Banyan Clinic Pte Ltd.,MD,63652001,730768,A,768,02,04,Woodlands Avenue 6,Woodlands Mart,"CDMP,CHAS,ISP",24085.28700111,47475.18426852,BDFADA141BC3C5C0,20190213130534,20190213130534,Woodlands Avenue 6,Woodlands Mart,"CDMP,CHAS,ISP",24085.28700111,47475.18426852,BDFADA141BC3C5C0,02,04,A,768,63652001,730768,Banyan Clinic Pte Ltd.,MD,9402787
103.827513018591,1.28905789113721,kml_4,,12C0244,Beo Crescent Clinic & Surgery,MD,62750269,160040,A,40,01,02,Beo Crescent,,"CDMP,CHAS,ISP",27353.89036223,30162.99234494,ACDDB5D5BB3AF37F,20190213130534,20190213130534,Beo Crescent,,"CDMP,CHAS,ISP",27353.89036223,30162.99234494,ACDDB5D5BB3AF37F,01,02,A,40,62750269,160040,Beo Crescent Clinic & Surgery,MD,12C0244
103.859014406987,1.29593189474123,kml_5,,9405101,Bethesda Medical Centre,MD,63378933,038983,B,3,B1,124,TEMASEK BOULEVARD,SUNTEC CITY MALL,"CDMP,CHAS,ISP",30859.71977217,30923.09790327,0F18873C06CB85A2,20190213130534,20190213130534,TEMASEK BOULEVARD,SUNTEC CITY MALL,"CDMP,CHAS,ISP",30859.71977217,30923.09790327,0F18873C06CB85A2,B1,124,B,3,63378933,038983,Bethesda Medical Centre,MD,9405101
103.751872040865,1.33649931574899,kml_6,,14M0324,Bewell Clinic @ Dorm Pte Ltd,MC,65656338,608596,B,28,01,01,TOH GUAN ROAD EAST,WESTLITE TOH GUAN DORMITORY,"CDMP,CHAS,ISP",18935.85979557,35408.97072583,38F5B4509423BD1C,20190213130534,20190213130534,TOH GUAN ROAD EAST,WESTLITE TOH GUAN DORMITORY,"CDMP,CHAS,ISP",18935.85979557,35408.97072583,38F5B4509423BD1C,01,01,B,28,65656338,608596,Bewell Clinic @ Dorm Pte Ltd,MC,14M0324
103.712429315355,1.3463481965558,kml_7,,12C0252,Bless Medical Centre Pte Ltd,MD,62664119,640221,A,221,01,108,BOON LAY PLACE,BOON LAY SHOPPING CENTRE,"CDMP,CHAS,ISP",14546.34900375,36498.19284422,0A525408785D9806,20190213130534,20190213130534,BOON LAY PLACE,BOON LAY SHOPPING CENTRE,"CDMP,CHAS,ISP",14546.34900375,36498.19284422,0A525408785D9806,01,108,A,221,62664119,640221,Bless Medical Centre Pte Ltd,MD,12C0252
103.92930519829,1.31316934216382,kml_8,,9402741,C & K FAMILY CLINIC PTE LTD,MD,62429588,455297,B,108,,,UPPER EAST COAST ROAD,,"CDMP,CHAS,ISP",38682.39910624,32829.31658602,CAA157915ADB2310,20190213130534,20190213130534,UPPER EAST COAST ROAD,,"CDMP,CHAS,ISP",38682.39910624,32829.31658602,CAA157915ADB2310,,,B,108,62429588,455297,C & K FAMILY CLINIC PTE LTD,MD,9402741
103.741742087355,1.34634407478636,kml_9,,9400151,C H TAN MEDICAL CLINIC & DENTAL SURGERY,MD,65618712,650177,A,177,01,259,BT BATOK WEST AVE 8,,"CDMP,CHAS,ISP",17808.54269556,36497.59486993,1678EB41FB069F2B,20190213130534,20190213130534,BT BATOK WEST AVE 8,,"CDMP,CHAS,ISP",17808.54269556,36497.59486993,1678EB41FB069F2B,01,259,A,177,65618712,650177,C H TAN MEDICAL CLINIC & DENTAL SURGERY,MD,9400151
103.845737117486,1.33833133425818,kml_10,,9400154,C K TAN FAMILY CLINIC & SURGERY PTE LTD,MD,62514438,310125,A,125,01,537,TOA PAYOH LOR 1,,"CDMP,CHAS,ISP",29382.05076063,35611.3990661,C04D108D1F0B247A,20190213130534,20190213130534,TOA PAYOH LOR 1,,"CDMP,CHAS,ISP",29382.05076063,35611.3990661,C04D108D1F0B247A,01,537,A,125,62514438,310125,C K TAN FAMILY CLINIC & SURGERY PTE LTD,MD,9400154
